code,Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10
phu,2757.333333333333,,,,,,,,,
pil,971.6666666666666,364.375,208.2142857142857,,,,,,,
ppt,4784.5,1594.8333333333333,1063.2222222222222,797.4166666666666,,,,,,
pst,3278.5,,,,,,,,,
qsb,716.5,409.4285714285714,260.54545454545456,,,,,,,
res,3509.6666666666665,1754.8333333333333,752.0714285714286,457.7826086956522,319.06060606060606,194.9814814814815,184.71929824561408,,,
sba,363.5652173913043,,,,,,,,,
sbl,584.4,365.25000000000006,224.7692307692308,,,,,,,
sfs,1430.0,635.5555555555555,381.3333333333333,,,,,,,
she,982.75,,,,,,,,,
shu,1933.6666666666667,,,,,,,,,
sit,5075.0,2537.5,,,,,,,,
sjg,4913.0,,,,,,,,,
sod,3407.6666666666665,1460.428571428571,365.1071428571428,,,,,,,
spg,713.0000000000001,285.20000000000005,203.7142857142857,142.60000000000002,109.69230769230772,89.12500000000001,64.81818181818181,57.04000000000001,50.92857142857143,47.53333333333334
spt,4001.5,1143.2857142857142,381.0952380952381,,,,,,,
stj,2634.75,,,,,,,,,
stt,178.33333333333331,,,,,,,,,
sua,4017.5,1339.1666666666667,,,,,,,,
tam,5075.5,,,,,,,,,
tan,1665.6666666666667,832.8333333333334,416.4166666666667,356.92857142857144,,,,,,
tdc,852.25,340.9,,,,,,,,
teo,336.5714285714286,181.23076923076923,,,,,,,,
thl,3400.0,1457.142857142857,364.28571428571433,,,,,,,
thy,3391.0,598.4117647058823,423.875,376.7777777777777,317.90625,,,,,
trw,1438.0000000000002,359.50000000000006,,,,,,,,
tsu,1827.3333333333333,685.25,365.4666666666666,304.5555555555556,,,,,,
ttb,340.3333333333333,,,,,,,,,
tuc,2360.75,363.1923076923077,,,,,,,,
ups,3107.5,1243.0,776.875,365.5882352941176,258.9583333333333,,,,,
val,2063.0,884.1428571428572,386.81250000000006,,,,,,,
vic,2624.0,,,,,,,,,
vna,840.6666666666666,105.08333333333331,,,,,,,,
vos,361.7142857142857,,,,,,,,,
vss,2300.0,1150.0,,,,,,,,
wic,727.0000000000001,436.2,272.625,,,,,,,
wng,3283.0,1407.0,984.9,492.45,351.75,,,,,
yak,1638.0,364.00000000000006,,,,,,,,
ykc,4909.5,1963.8,,,,,,,,
