code,Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10
shu,1160.1999999999998,725.125,362.5625,181.28125,,,,,,
sit,3383.333333333333,1268.75,362.5,,,,,,,
sjg,3275.333333333333,,,,,,,,,
sod,3407.6666666666665,1022.3,378.6296296296296,,,,,,,
spt,4001.5,363.77272727272725,,,,,,,,
stj,5269.5,2634.75,1317.375,810.6923076923077,363.4137931034483,,,,,
sua,2678.333333333333,892.7777777777778,,,,,,,,
tam,5075.5,362.5357142857143,,,,,,,,
tan,2498.5,,,,,,,,,
tdc,1704.5,378.77777777777777,,,,,,,,
thl,5100.0,1133.3333333333333,364.28571428571433,,,,,,,
thy,5086.5,2034.6,,,,,,,,
trw,1438.0000000000002,616.2857142857143,359.50000000000006,,,,,,,
tsu,1827.3333333333333,1096.4,685.25,365.4666666666666,,,,,,
tuc,3147.6666666666665,1049.2222222222222,786.9166666666666,629.5333333333334,497.0,377.72,248.5,181.59615384615387,,
ups,2071.6666666666665,565.0,365.5882352941176,,,,,,,
val,2063.0,1237.8,343.8333333333333,,,,,,,
vic,3498.6666666666665,361.93103448275866,,,,,,,,
vna,840.6666666666666,,,,,,,,,
vos,844.0,316.5,253.2,168.8,,,,,,
vss,1150.0,460.0,363.1578947368421,313.6363636363636,,,,,,
wng,3283.0,1407.0,895.3636363636364,518.3684210526317,364.7777777777778,,,,,
yak,819.0,364.00000000000006,182.00000000000003,,,,,,,
ykc,4909.5,,,,,,,,,
